Total_Population,Median_Income,Median_Home_Value,Unemployed_Pop,Bachelors_Holders,StateFIPS,CountyFIPS,TractFIPS
3460.0,190625.0,2000001.0,133.0,1142.0,6,1,423800
2205.0,94563.0,1184000.0,70.0,511.0,6,1,423901
1541.0,142206.0,1554100.0,43.0,393.0,6,1,423902
3716.0,88018.0,1183700.0,261.0,809.0,6,1,424001
2591.0,102826.0,1176300.0,141.0,506.0,6,1,424002
1677.0,84680.0,495000.0,69.0,423.0,6,1,425101
3901.0,130555.0,639300.0,48.0,1139.0,6,1,425102
3108.0,117688.0,730700.0,260.0,1117.0,6,1,425103
4070.0,124043.0,556800.0,100.0,1667.0,6,1,425104
6160.0,250001.0,2000001.0,89.0,1507.0,6,1,426100
4852.0,250001.0,2000001.0,120.0,1127.0,6,1,426200
4146.0,206118.0,1449500.0,119.0,810.0,6,1,427100
4371.0,107535.0,1044400.0,167.0,848.0,6,1,427200
5357.0,136681.0,1116600.0,82.0,1153.0,6,1,427300
4839.0,95691.0,713200.0,249.0,1129.0,6,1,427600
4883.0,103333.0,1124200.0,107.0,1378.0,6,1,427700
4397.0,148542.0,1325800.0,118.0,1112.0,6,1,427800
4764.0,105836.0,1238600.0,141.0,1273.0,6,1,427900
2969.0,99956.0,964300.0,203.0,699.0,6,1,428000
4661.0,162350.0,1496400.0,144.0,1365.0,6,1,428100
6449.0,105398.0,1251500.0,79.0,1478.0,6,1,428200
6832.0,188419.0,977000.0,120.0,1966.0,6,1,428301
6527.0,206780.0,1408800.0,151.0,2091.0,6,1,428302
4870.0,107083.0,1001900.0,121.0,1144.0,6,1,428400
3417.0,143529.0,1086500.0,47.0,1045.0,6,1,428500
3283.0,125446.0,1000000.0,85.0,882.0,6,1,428600
5111.0,137292.0,1378800.0,137.0,1091.0,6,1,428700
6501.0,211029.0,1240300.0,133.0,1518.0,6,1,430101
2434.0,185956.0,1226500.0,51.0,558.0,6,1,430102
7403.0,181250.0,1124300.0,222.0,1673.0,6,1,430200
4094.0,168750.0,1147900.0,190.0,750.0,6,1,430300
2148.0,208929.0,1123700.0,45.0,541.0,6,1,430400
6087.0,92139.0,903100.0,161.0,1169.0,6,1,430500
6786.0,179605.0,1025300.0,118.0,1102.0,6,1,430600
3905.0,131250.0,1038800.0,83.0,781.0,6,1,430700
5796.0,101784.0,898000.0,71.0,957.0,6,1,430800
5474.0,119028.0,890100.0,41.0,931.0,6,1,430900
3143.0,96250.0,734500.0,58.0,806.0,6,1,431000
3538.0,105329.0,824200.0,22.0,510.0,6,1,431100
5572.0,104646.0,726500.0,54.0,1099.0,6,1,431200
3828.0,183735.0,1005400.0,42.0,705.0,6,1,432100
3940.0,92702.0,1000500.0,100.0,745.0,6,1,432200
4781.0,156531.0,855400.0,55.0,1058.0,6,1,432300
6332.0,96500.0,665000.0,205.0,615.0,6,1,432400
4852.0,123232.0,760400.0,100.0,920.0,6,1,432501
5111.0,112483.0,734100.0,143.0,1066.0,6,1,432502
4267.0,89630.0,541200.0,116.0,742.0,6,1,432601
3109.0,98571.0,674100.0,86.0,420.0,6,1,432602
2654.0,96481.0,996800.0,175.0,542.0,6,1,432700
4037.0,130202.0,1104400.0,161.0,1063.0,6,1,432800
3674.0,102118.0,771500.0,97.0,784.0,6,1,433000
4064.0,102703.0,842100.0,25.0,592.0,6,1,433102
3460.0,64615.0,597800.0,100.0,350.0,6,1,433103
4584.0,78603.0,679300.0,103.0,590.0,6,1,433104
8135.0,84818.0,822400.0,421.0,1430.0,6,1,433200
7265.0,102823.0,811200.0,355.0,886.0,6,1,433300
5824.0,127601.0,720000.0,141.0,1560.0,6,1,433400
4084.0,75319.0,801600.0,188.0,688.0,6,1,433500
5871.0,82457.0,815500.0,140.0,861.0,6,1,433600
3206.0,84813.0,694000.0,82.0,218.0,6,1,433700
3290.0,97155.0,653500.0,207.0,352.0,6,1,433801
4084.0,104289.0,778100.0,59.0,871.0,6,1,433802
6850.0,80148.0,608300.0,361.0,407.0,6,1,433900
5378.0,55962.0,595300.0,209.0,595.0,6,1,434000
5595.0,129191.0,960500.0,318.0,1135.0,6,1,435102
7325.0,184875.0,1336700.0,188.0,1832.0,6,1,435103
6615.0,119681.0,895500.0,131.0,1400.0,6,1,435104
4530.0,129375.0,927600.0,133.0,734.0,6,1,435200
4909.0,114484.0,818300.0,151.0,915.0,6,1,435300
5077.0,83310.0,643300.0,129.0,533.0,6,1,435400
4023.0,81275.0,732400.0,101.0,510.0,6,1,435500
4813.0,80325.0,703600.0,39.0,530.0,6,1,435601
5506.0,88273.0,656300.0,157.0,411.0,6,1,435602
4913.0,100610.0,798900.0,133.0,431.0,6,1,435700
5802.0,106860.0,848600.0,192.0,729.0,6,1,435800
5138.0,117841.0,825100.0,202.0,913.0,6,1,435900
4932.0,116087.0,842700.0,279.0,678.0,6,1,436000
5991.0,119706.0,832000.0,79.0,1001.0,6,1,436100
4060.0,78125.0,737400.0,102.0,604.0,6,1,436200
5275.0,192837.0,890500.0,126.0,932.0,6,1,436301
3766.0,94112.0,661400.0,102.0,845.0,6,1,436302
2754.0,173882.0,1084400.0,114.0,787.0,6,1,436402
4403.0,103750.0,712900.0,193.0,825.0,6,1,436403
3216.0,153333.0,842200.0,52.0,561.0,6,1,436404
5010.0,86952.0,779200.0,309.0,569.0,6,1,436500
6554.0,80095.0,759700.0,116.0,788.0,6,1,436601
5250.0,103178.0,735900.0,232.0,548.0,6,1,436602
3533.0,123705.0,642300.0,35.0,617.0,6,1,436700
4244.0,108867.0,846800.0,106.0,625.0,6,1,436800
6766.0,107545.0,811200.0,89.0,812.0,6,1,436900
3617.0,109583.0,802700.0,86.0,601.0,6,1,437000
7458.0,162303.0,1096000.0,243.0,1858.0,6,1,437101
4018.0,81914.0,695500.0,89.0,462.0,6,1,437102
