origin_id,destination_id,am_peak_min,late_night_min,off_peak_delay_min
06001402200,06001428600,46.0,56.0,10.0
06001402200,06001428700,49.0,65.0,16.0
06001402200,06001430101,120.0,120.0,0.0
06001402200,06001430102,120.0,120.0,0.0
06001402200,06001430200,120.0,120.0,0.0
06001402200,06001430300,85.0,80.0,-5.0
06001402200,06001430400,120.0,120.0,0.0
06001402200,06001430500,70.0,76.0,6.0
06001402200,06001430600,65.0,84.0,19.0
06001402200,06001430700,77.0,66.0,-11.0
06001402200,06001430800,58.0,57.0,-1.0
06001402200,06001430900,68.0,64.0,-4.0
06001402200,06001431000,52.0,48.0,-4.0
06001402200,06001431100,60.0,62.0,2.0
06001402200,06001431200,67.0,52.0,-15.0
06001402200,06001432100,64.0,55.0,-9.0
06001402200,06001432200,49.0,56.0,7.0
06001402200,06001432300,48.0,50.0,2.0
06001402200,06001432400,69.0,76.0,7.0
06001402200,06001432501,52.0,54.0,2.0
06001402200,06001432502,53.0,55.0,2.0
06001402200,06001432601,34.0,36.0,2.0
06001402200,06001432602,46.0,43.0,-3.0
06001402200,06001432700,57.0,48.0,-9.0
06001402200,06001432800,86.0,77.0,-9.0
06001402200,06001433000,56.0,50.0,-6.0
06001402200,06001433102,46.0,51.0,5.0
06001402200,06001433103,55.0,49.0,-6.0
06001402200,06001433104,50.0,49.0,-1.0
06001402200,06001433200,47.0,57.0,10.0
06001402200,06001433300,63.0,73.0,10.0
06001402200,06001433400,101.0,102.0,1.0
06001402200,06001433500,75.0,60.0,-15.0
06001402200,06001433600,72.0,53.0,-19.0
06001402200,06001433700,61.0,68.0,7.0
06001402200,06001433801,52.0,51.0,-1.0
06001402200,06001433802,41.0,43.0,2.0
06001402200,06001433900,53.0,60.0,7.0
06001402200,06001434000,46.0,53.0,7.0
06001402200,06001435102,106.0,120.0,14.0
06001402200,06001435103,120.0,120.0,0.0
06001402200,06001435104,120.0,120.0,0.0
06001402200,06001435200,69.0,77.0,8.0
06001402200,06001435300,54.0,62.0,8.0
06001402200,06001435400,47.0,60.0,13.0
06001402200,06001435500,53.0,59.0,6.0
06001402200,06001435601,60.0,76.0,16.0
06001402200,06001435602,63.0,68.0,5.0
06001402200,06001435700,66.0,63.0,-3.0
06001402200,06001435800,64.0,52.0,-12.0
06001402200,06001435900,73.0,75.0,2.0
06001402200,06001436000,71.0,72.0,1.0
06001402200,06001436100,64.0,51.0,-13.0
06001402200,06001436200,66.0,64.0,-2.0
06001402200,06001436301,50.0,63.0,13.0
06001402200,06001436302,42.0,61.0,19.0
06001402200,06001436402,120.0,120.0,0.0
06001402200,06001436403,58.0,78.0,20.0
06001402200,06001436404,74.0,90.0,16.0
06001402200,06001436500,56.0,73.0,17.0
06001402200,06001436601,56.0,75.0,19.0
06001402200,06001436602,65.0,87.0,22.0
06001402200,06001436700,53.0,75.0,22.0
06001402200,06001436800,55.0,74.0,19.0
06001402200,06001436900,68.0,59.0,-9.0
06001402200,06001437000,69.0,67.0,-2.0
06001402200,06001437101,98.0,120.0,22.0
06001402200,06001437102,68.0,66.0,-2.0
06001402200,06001437200,74.0,72.0,-2.0
06001402200,06001437300,71.0,69.0,-2.0
06001402200,06001437400,68.0,109.0,41.0
06001402200,06001437500,56.0,104.0,48.0
06001402200,06001437600,64.0,86.0,22.0
06001402200,06001437701,70.0,80.0,10.0
06001402200,06001437702,59.0,91.0,32.0
06001402200,06001437800,64.0,80.0,16.0
06001402200,06001437900,55.0,72.0,17.0
06001402200,06001438000,75.0,92.0,17.0
06001402200,06001438100,71.0,88.0,17.0
06001402200,06001438201,83.0,86.0,3.0
06001402200,06001438203,78.0,120.0,42.0
06001402200,06001438204,70.0,85.0,15.0
06001402200,06001438300,75.0,73.0,-2.0
06001402200,06001438400,80.0,76.0,-4.0
06001402200,06001440100,120.0,120.0,0.0
06001402200,06001440200,67.0,82.0,15.0
06001402200,06001440301,73.0,86.0,13.0
06001402200,06001440304,82.0,82.0,0.0
06001402200,06001440305,97.0,99.0,2.0
